camera_traseira;velocidade_do_processador;url;chips;resolucao;tamanho_da_tela;modelo;memoria_ram;linha;preco;camera_frontal;marca;memoria_interna
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-cce-mobi-s12.html;;;2.3;mobi s12;;;;;cce;
8.0 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-htc-8x.html;dual;;4.3;8x;;;;2.0 megapixels frontal;htc;16.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-blu-hero.html;dual;240 x 320;2.8;hero;;;;;blu;
;;http://www.buscape.com.br/detalhes--celular-mox-w5.html;;400 x 240;3.2;w5;;;;;mox;
;;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-m2-d2302.html;;;;m2 d2302;;xperia;;;sony;
;;http://www.buscape.com.br/detalhes--smartphone-blu-life-play-2-l170i.html;;;;2 l170i;;life play;;;blu;
5.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-positivo-x400.html;dual;;;x400;;;;5.0 megapixels frontal;positivo;4.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-lg-leon-h340n.html;dual;480 x 854;4.5;leon h340n;;;;vga;lg;8.0
12.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s7-edge-sm-g935-64gb.html;single;2560 x 1440;5.5;s7 edge sm-g935 64gb;4.0;galaxy;;5.0 megapixels frontal;samsung;64.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-positivo-quattro-x435.html;dual;854 x 480;5.0;quattro x435;1.0;;;5.0 megapixels frontal;positivo;8.0
12.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-note-7-sm-n930f.html;;1440 x 2560;5.7;7 sm-n930f;4.0;galaxy note;;5.0 megapixels frontal;samsung;64.0
;;http://www.buscape.com.br/detalhes--smartphone-mirage-81s.html;;;;81s;;;;;mirage;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-9650.html;single;480 x 360;2.4;9650;;;371.0;;blackberry;
20 megapixels;3.5;http://www.buscape.com.br/detalhes--smartphone-htc-one-m9.html;single;1920 x 1080;5.0;one m9;;;3781.0;4 megapixels frontal;htc;32.0
;;http://www.buscape.com.br/detalhes--smartphone-dl-yzu-ds3.html;;;;yzu ds3;;;489.0;;dl;
20.7 megapixels;2.2;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-z1-compact.html;;1280 x 720;4.3;z1 compact;;xperia;;2.0 megapixels frontal;sony;2.0
;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-note-3-neo-sm-n7505.html;;;;3 neo sm-n7505;;galaxy note;;;samsung;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-multilaser-neo.html;tri;;1.8;neo;;;;;multilaser;
;;http://www.buscape.com.br/detalhes--celular-samsung-gt-e1270.html;;;;gt-e1270;;;;;samsung;
2.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-multilaser-orion-p3181.html;dual;480 x 320;3.5;orion p3181;;;;;multilaser;
;;http://www.buscape.com.br/detalhes--smartphone-positivo-ypy-s405.html;;;;ypy s405;;;;;positivo;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-blackberry-bold-9790.html;single;480 x 360;2.46;bold 9790;;;;;blackberry;
;;http://www.buscape.com.br/detalhes--smartphone-blu-life-play-x-l102.html;;;;x l102;;life play;;;blu;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-blu-deco-mini-q-130.html;;320 x 240;2.31;q-130;;deco mini;;;blu;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-i680.html;;176 x 220;2.2;i680;;;;;motorola;
;;http://www.buscape.com.br/detalhes--smartphone-multilaser-ms2.html;;;;ms2;;;;;multilaser;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-asha-306.html;;240 x 400;3.0;306;;asha;;;nokia;
;;http://www.buscape.com.br/detalhes--celular-mox-m45.html;;;;m45;;;;;mox;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-ms25.html;single;;;ms25;;;;;lg;
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-xt627.html;dual;;3.5;xt627;;;;;motorola;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-meu-sn56.html;dual;;;sn56;;;;;meu;
;;http://www.buscape.com.br/detalhes--celular-blu-tattoo-mini-q190t.html;dual;;;tattoo mini q190t;;;;;blu;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-d820.html;single;240 x 320;;sgh-d820;;;;;samsung;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-blu-charleston.html;dual;;1.8;charleston;;;;;blu;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-660.html;single;128 x 160;1.8;ot-660;;;;;alcatel;
1.3 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-sgh-i321.html;single;;;sgh-i321;;;;;samsung;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-beat-disco-gt-m2510.html;single;;2.2;beat disco gt-m2510;;;;;samsung;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-meu-sn23.html;tri;;;sn23;;;;;meu;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-t510.html;dual;;2.8;t510;;;;;lg;
;;http://www.buscape.com.br/detalhes--smartphone-blackberry-8700.html;single;320 x 240;2.6;8700;;;;;blackberry;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-m3510.html;single;240 x 320;;gt-m3510;;;;;samsung;
;;http://www.buscape.com.br/detalhes--celular-motorola-c168.html;single;128 x 128;;c168;;;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-venko-ideal-ii.html;;;;ideal ii;;;;;venko;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-303.html;single;128 x 160;1.8;ot-303;;;;;alcatel;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-e365.html;;128 x 160;;e365;;;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-nokia-7260.html;single;;;7260;;;;;nokia;
;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-z600.html;single;128 x 160;;z600;;;;;sony ericsson;
;;http://www.buscape.com.br/detalhes--celular-motorola-v186.html;;128 x 128;;v186;;;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-lg-mg105.html;single;;;mg105;;;;;lg;
;;http://www.buscape.com.br/detalhes--celular-motorola-c139.html;single;96 x 64;;c139;;;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-motorola-i205.html;single;;;i205;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-5500.html;single;208 x 208;;5500;;;;;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-k510i.html;single;128 x 160;;k510i;;;;;sony ericsson;
;;http://www.buscape.com.br/detalhes--celular-nokia-9500.html;;;;9500;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-n72.html;single;176 x 208;2.1;n72;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6110.html;;240 x 320;;6110;;;;;nokia;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-htc-tytn-ii-p4550.html;single;240 x 320;2.8;tytn ii p4550;;;;0.3 megapixels frontal;htc;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w890.html;single;240 x 320;;w890;;;;;sony ericsson;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6500.html;single;240 x 320;2.2;6500;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-9000.html;single;480 x 320;2.6;9000;;;;;blackberry;1.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-z555.html;single;176 x 220;;z555;;;;;sony ericsson;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-kp275.html;single;176 x 220;2.0;kp275;;;;;lg;
1.3 megapixels;;http://www.buscape.com.br/detalhes--smartphone-htc-s621.html;single;320 x 240;2.4;s621;;;;;htc;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-htc-hero.html;single;320 x 480;3.2;hero;;;;;htc;
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-c901.html;single;240 x 320;2.2;c901;;;;;sony ericsson;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-3g-32gb.html;single;320 x 480;3.5;3g 32gb;;iphone;;;apple;32.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--smartphone-htc-excalibur-s621.html;single;240 x 320;2.4;excalibur s621;;;;;htc;
;;http://www.buscape.com.br/detalhes--smartphone-nokia-e62.html;single;320 x 240;2.9;e62;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-c6112.html;dual;240 x 320;2.4;gt-c6112;;;;;samsung;
11.0 megapixels;;http://www.buscape.com.br/detalhes--celular-vaic-cube-e81.html;dual;;;cube e81;;;;;vaic;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-c5.html;single;240 x 320;2.2;c5;;;;vga;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-ke970-shine.html;single;240 x 320;2.2;ke970 shine;;;;;lg;
12.0 megapixels;;http://www.buscape.com.br/detalhes--celular-bak-bk-mp244c.html;quadri;;2.0;bk-mp244c;;;;0.3 megapixels frontal;bak;
;;http://www.buscape.com.br/detalhes--celular-meu-310.html;dual;128 x 160;1.8;310;;;;;meu;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-a210.html;single;128 x 128;1.52;a210;;;;;lg;
;;http://www.buscape.com.br/detalhes--smartphone-lg-l80-d375.html;;;;l80 d375;;;;;lg;
;;http://www.buscape.com.br/detalhes--celular-multilaser-touch-n.html;;;;touch n;;;;;multilaser;
13.0 megapixels;2.7;http://www.buscape.com.br/detalhes--smartphone-motorola-nexus-6-64gb.html;;2560 x 1440;5.96;nexus 6 64gb;;;;2.0 megapixels frontal;motorola;64.0
;;http://www.buscape.com.br/detalhes--smartphone-positivo-s380.html;;;;s380;;;;;positivo;
;;http://www.buscape.com.br/detalhes--smartphone-blu-studio-5-0-c-hd-d534.html;;;;5.0 c hd d534;;studio;;;blu;
;1.0;http://www.buscape.com.br/detalhes--smartphone-bright-enter.html;dual;320 x 480;3.5;enter;;;;;bright;
;;http://www.buscape.com.br/detalhes--smartphone-blu-advance-4-0-a010l.html;;;;4.0 a010l;;advance;;;blu;
13.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-asus-zenfone-2-laser-8gb.html;dual;1280 x 720;5.5;2 laser 8gb;1.0;zenfone;;5.0 megapixels frontal;asus;8.0
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-mirage-41s.html;dual;;4.5;41s;1.0;;;5.0 megapixels frontal;mirage;8.0
;;http://www.buscape.com.br/detalhes--celular-lenoxx-sound-cx-920.html;;;;cx-920;;;165.0;;lenoxx sound;
8.0 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-note-sgh-i717.html;;1280 x 800;5.3;sgh-i717;;galaxy note;1162.0;2.0 megapixels frontal;samsung;16.0
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-infuse-sgh-i997.html;single;480 x 320;4.5;infuse sgh-i997;;;790.0;;samsung;
8.0 megapixels;1.1;http://www.buscape.com.br/detalhes--smartphone-tp-link-neffos-c5l.html;dual;;4.5;neffos c5l;1.0;;534.0;2.0 megapixels frontal;tp-link;8.0
;;http://www.buscape.com.br/detalhes--smartphone-lg-a100.html;;128 x 128;1.5;a100;;;137.0;;lg;
;;http://www.buscape.com.br/detalhes--celular-alcatel-one-touch-ot1050.html;;;;one touch ot1050;;;94.0;;alcatel;
;;http://www.buscape.com.br/detalhes--smartphone-alcatel-one-touch-pixi-ot-4007e.html;;;;one touch pixi ot-4007e;;;;;alcatel;
vga;;http://www.buscape.com.br/detalhes--celular-blu-zoey-t176.html;dual;128 x 160;1.8;zoey t176;;;;;blu;
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-multilaser-ms4.html;dual;480 x 854;4.5;ms4;;;;2.0 megapixels frontal;multilaser;4.0
8.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-multilaser-city.html;dual;854 x 480;4.7;city;;;;1.3 megapixels frontal;multilaser;4.0
;;http://www.buscape.com.br/detalhes--celular-samsung-e1200.html;single;128 x 128;1.52;e1200;;;;;samsung;
;;http://www.buscape.com.br/detalhes--celular-lenoxx-sound-cx-900.html;;;;cx-900;;;;;lenoxx sound;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-multilaser-titanium.html;dual;;4.3;titanium;;;;1.3 megapixels frontal;multilaser;
;;http://www.buscape.com.br/detalhes--celular-blu-samba-tv-q170t.html;;;1.8;tv q170t;;samba;;;blu;
;;http://www.buscape.com.br/detalhes--smartphone-huawei-ascend-y330.html;;;;y330;;ascend;;;huawei;
;;http://www.buscape.com.br/detalhes--celular-lenoxx-sound-cx-910.html;;;;cx-910;;;;;lenoxx sound;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-meu-412.html;dual;;;412;;;;;meu;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-blu-amour-d290.html;dual;480 x 800;4.0;amour d290;;;;vga;blu;4.0
;;http://www.buscape.com.br/detalhes--celular-lg-a390.html;;;;a390;;;;;lg;
8.0 megapixels;1.7;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-mega-gt-i9205.html;;1280 x 720;6.3;gt-i9205;;galaxy mega;;1.9 megapixels frontal;samsung;8.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-curve-9220.html;single;1280 x 800;2.0;9220;;curve;;;blackberry;
;;http://www.buscape.com.br/detalhes--smartphone-blu-studio-5-5-s.html;;;;5.5 s;;studio;;;blu;
8.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l7-ii-p710.html;single;480 x 800;4.3;l7 ii p710;;optimus;;vga;lg;4.0
;;http://www.buscape.com.br/detalhes--celular-multilaser-connect.html;;;;connect;;;;;multilaser;
;;http://www.buscape.com.br/detalhes--celular-lg-a270.html;;128 x 128;1.45;a270;;;;;lg;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-xcover-ii-gt-s7710.html;;480 x 800;4.0;ii gt-s7710;;galaxy xcover;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-t370-cookie-smart.html;dual;240 x 320;3.2;t370 cookie smart;;;;;lg;
;;http://www.buscape.com.br/detalhes--celular-lg-a175.html;;128 x 128;1.5;a175;;;;;lg;
;;http://www.buscape.com.br/detalhes--smartphone-blackberry-7290.html;single;240 x 160;2.6;7290;;;;;blackberry;
;;http://www.buscape.com.br/detalhes--celular-blu-diva-x-t372.html;;;;diva x t372;;;;;blu;
;;http://www.buscape.com.br/detalhes--celular-multilaser-p3155.html;;;;p3155;;;;;multilaser;
;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-602d.html;;;;ot-602d;;;;;alcatel;
1.3 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-pearl-8100.html;single;240 x 260;2.2;pearl 8100;;;;;blackberry;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-meu-sn22.html;dual;320 x 240;2.2;sn22;;;;;meu;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-meu-409.html;dual;128 x 160;1.8;409;;;;;meu;
;;http://www.buscape.com.br/detalhes--celular-huawei-g3511.html;dual;128 x 128;1.5;g3511;;;;;huawei;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-positivo-p101.html;dual;320 x 240;2.31;p101;;;;;positivo;
;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-228.html;dual;128 x 128;1.45;ot-228;;;;;alcatel;
;;http://www.buscape.com.br/detalhes--celular-motorola-v400.html;single;176 x 220;;v400;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-pearl-8120.html;single;240 x 260;2.2;pearl 8120;;;;;blackberry;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-curve-8300.html;single;320 x 240;2.5;8300;;curve;;;blackberry;
;;http://www.buscape.com.br/detalhes--celular-huawei-u2800.html;;;1.8;u2800;;;;;huawei;
;;http://www.buscape.com.br/detalhes--celular-siemens-s45.html;single;101 x 80;;s45;;;;;siemens;
;;http://www.buscape.com.br/detalhes--celular-motorola-v80.html;single;176 x 220;;v80;;;;;motorola;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-e800.html;single;128 x 160;;sgh-e800;;;;;samsung;
;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-x460.html;single;128 x 160;;sgh-x460;;;;;samsung;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-p800.html;single;208 x 320;;p800;;;;;sony ericsson;
;;http://www.buscape.com.br/detalhes--celular-motorola-v172.html;single;96 x 64;;v172;;;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-motorola-v150.html;single;96 x 65;;v150;;;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-motorola-c200.html;single;98 x 64;;c200;;;;;motorola;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-7360.html;single;128 x 160;;7360;;;;;nokia;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-i860.html;single;176 x 220;;i860;;;;;motorola;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-e770.html;single;176 x 220;;sgh-e770;;;;;samsung;
;;http://www.buscape.com.br/detalhes--celular-motorola-v190.html;single;128 x 160;;v190;;;;;motorola;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-razr-v3.html;single;176 x 220;;v3;;razr;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-e900.html;single;240 x 320;;sgh-e900;;;;;samsung;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-e351.html;single;;;sgh-e351;;;;;samsung;
;;http://www.buscape.com.br/detalhes--celular-nokia-2610.html;single;128 x 128;;2610;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-p990i.html;single;240 x 320;;p990i;;;;;sony ericsson;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w850i.html;single;240 x 320;2.0;w850i;;;;0.3 megapixels frontal;sony ericsson;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-z710i.html;single;176 x 220;;z710i;;;;;sony ericsson;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-maxx.html;;240 x 320;;maxx;;;;;motorola;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-butterfly-mg225d.html;single;128 x 128;;butterfly mg225d;;;;;lg;
;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-c160.html;single;128 x 128;;sgh-c160;;;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6300.html;single;240 x 320;;6300;;;;;nokia;
0.3 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-9500.html;single;640 x 200;;9500;;;;;nokia;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-n93.html;;240 x 320;;n93;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-htc-tytn.html;single;240 x 320;;tytn;;;;;htc;
1.3 megapixels;;http://www.buscape.com.br/detalhes--smartphone-palm-treo-750.html;;240 x 240;2.6;treo 750;;;;;palm;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-p1i.html;;320 x 240;2.4;p1i;;;;;sony ericsson;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-7500.html;;320 x 240;2.0;7500;;;;;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--smartphone-hp-ipaq-510.html;single;176 x 220;2.0;ipaq 510;;;;;hp;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-c421.html;single;128 x 128;;sgh-c421;;;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-curve-8320.html;single;240 x 320;;8320;;curve;;;blackberry;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-dotcom-mb-2300.html;dual;;;mb 2300;;;;;dotcom;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-hp-ipaq-910.html;;320 x 240;2.4;ipaq 910;;;;;hp;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-kp245.html;single;;;kp245;;;;;lg;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-htc-tattoo.html;single;;2.8;tattoo;;;;;htc;
8.0 megapixels;;http://www.buscape.com.br/detalhes--celular-powerpack-tctv-588.html;dual;;2.4;tctv-588;;;;;powerpack;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-htc-hd2.html;single;480 x 800;4.3;hd2;;;;0.3 megapixels frontal;htc;
3.5 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-jack-sgh-i637.html;;;2.4;jack sgh-i637;;;;;samsung;
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-bl20-new-chocolate.html;single;240 x 320;2.4;bl20 new chocolate;;;;;lg;
3.15 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6303.html;single;240 x 320;2.2;6303;;;;;nokia;
3.15 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-t707.html;single;240 x 320;2.2;t707;;;;;sony ericsson;
12.1 megapixels;;http://www.buscape.com.br/detalhes--celular-hiphone-f030.html;dual;;;f030;;;;;hiphone;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-karma-qa1.html;single;320 x 240;2.5;karma qa1;;;;;motorola;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-htc-wildfire.html;single;240 x 320;3.2;wildfire;;;;;htc;
;;http://www.buscape.com.br/detalhes--celular-vaic-c5700.html;dual;240 x 320;;c5700;;;;;vaic;
1.2 megapixels;;http://www.buscape.com.br/detalhes--celular-vaic-f-160.html;quadri;;2.0;f-160;;;;;vaic;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-zte-x960.html;single;240 x 320;2.8;x960;;;;;zte;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-htc-hd7.html;single;480 x 800;4.3;hd7;;;;;htc;
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-hazel.html;single;240 x 320;2.6;hazel;;;;;sony ericsson;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-gr500.html;single;;2.8;gr500;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-gx300.html;dual;176 x 220;2.2;gx300;;;;;lg;
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-i420.html;single;128 x 160;1.79;i420;;;;;motorola;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-flipside.html;;320 x 480;3.1;flipside;;;;;motorola;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-focus-sgh-i917.html;single;800 x 480;4.0;focus sgh-i917;;;;;samsung;8.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-wave-ii-gt-s8530.html;;480 x 800;3.7;ii gt-s8530;;wave;;0.3 megapixels frontal;samsung;2.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-i440.html;;128 x 160;1.79;i440;;;;;motorola;
13.0 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-mint.html;;720 x 1280;4.3;mint;;xperia;;;sony;
;;http://www.buscape.com.br/detalhes--celular-octo-t90.html;;;;t90;;;;;octo;
;;http://www.buscape.com.br/detalhes--celular-samsung-gt-e1080.html;;;;gt-e1080;;;;;samsung;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-net-p690.html;;320 x 480;3.2;net p690;;optimus;;;lg;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-blu-deejay-touch-s210.html;;240 x 340;2.6;deejay touch s210;;;;;blu;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-semp-toshiba-cs-40g.html;dual;800 x 480;4.0;cs 40g;;;;0.3 megapixels frontal;semp toshiba;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-semp-toshiba-cs-35g.html;;;3.5;cs 35g;;;;;semp toshiba;
;;http://www.buscape.com.br/detalhes--celular-freecel-duo-tv.html;;;;duo tv;;;;;freecel;
vga;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-316.html;;128 x 160;1.8;ot-316;;;;;alcatel;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-rex-70-gt-s3802.html;dual;240 x 320;3.0;70 gt-s3802;;rex;;;samsung;
;;http://www.buscape.com.br/detalhes--celular-nokia-207.html;single;320 x 240;2.4;207;;;;;nokia;
;;http://www.buscape.com.br/detalhes--smartphone-caterpillar-cat-b10.html;;;;cat b10;;;;;caterpillar;
;;http://www.buscape.com.br/detalhes--smartphone-alcatel-one-touch-pop-c1.html;;;;one touch pop c1;;;;;alcatel;
2.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-huawei-ascend-y320.html;;480 x 800;4.0;y320;;ascend;;;huawei;
;;http://www.buscape.com.br/detalhes--celular-blu-blu-tank-ii-t192.html;;;;blu tank ii t192;;;;;blu;
;;http://www.buscape.com.br/detalhes--smartphone-multilaser-msx.html;;;;msx;;;;;multilaser;
;;http://www.buscape.com.br/detalhes--smartphone-blu-life-8-l280i.html;;;;8 l280i;;life;;;blu;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-sony-e3-d2243.html;;480 x 854;4.5;e3 d2243;;;;vga;sony;4.0
;;http://www.buscape.com.br/detalhes--smartphone-blu-studio-6-0-hd.html;;;;6.0 hd;;studio;;;blu;
13.0 megapixels;1.8;http://www.buscape.com.br/detalhes--smartphone-asus-zenfone-2-ze550ml.html;dual;1280 x 720;5.5;2 ze550ml;2.0;zenfone;;5.0 megapixels frontal;asus;16.0
16.0 megapixels;3.6;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-note-5-sm-n920-64gb.html;;2560 x 1440;5.7;5 sm-n920 64gb;;galaxy note;;5.0 megapixels frontal;samsung;64.0
16.0 megapixels;3.6;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s6-edge-plus-sm-g928-64gb.html;;2560 x 1440;5.7;s6 edge+ plus sm-g928 64gb;;galaxy;;5.0 megapixels frontal;samsung;64.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-blu-samba-w-q170w.html;dual;176 x 220;2.0;w q170w;;samba;;;blu;
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-volt-h442f.html;dual;1280 x 720;4.7;volt h442f;;;;1.3 megapixels frontal;lg;8.0
;;http://www.buscape.com.br/detalhes--smartphone-blu-dash-5-5-d470l.html;;;;5.5 d470l;;dash;;;blu;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-qbex-x-pocket.html;;;4.0;x pocket;0.5;;;2.0 megapixels frontal;qbex;4.0
