camera_traseira;velocidade_do_processador;url;chips;resolucao;tamanho_da_tela;modelo;memoria_ram;linha;preco;camera_frontal;marca;memoria_interna
16.0 megapixels;2.0;http://www.buscape.com.br/smartphone-asus-zenfone-3-ze552kl;dual;1920 x 1080;5.5;3 ze552kl;4.0;zenfone;1498.0;8.0 megapixels frontal;asus;64.0
13.0 megapixels;1.5;http://www.buscape.com.br/smartphone-motorola-moto-g-4-xt1626;dual;1920 x 1080;5.5;4 xt1626;2.0;moto g;948.11;5.0 megapixels frontal;motorola;16.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-lg-k8-k350;dual;720 x 1280;5.0;k8 k350;;;575.0;5.0 megapixels frontal;lg;16.0
;;http://www.buscape.com.br/celular-lg-b220;;;;b220;;;72.3;;lg;
13.0 megapixels;;http://www.buscape.com.br/smartphone-lg-k10-k430;dual;720 x 1280;5.3;k10 k430;;;629.1;8.0 megapixels frontal;lg;16.0
;;http://www.buscape.com.br/celular-dl-yc110;dual;;1.8;yc110;;;109.01;;dl;
13.0 megapixels;1.8;http://www.buscape.com.br/smartphone-motorola-moto-z-xt1650-power-edition;dual;2560 x 1440;5.5;xt1650;4.0;moto z;1999.0;5.0 megapixels frontal;motorola;64.0
;;http://www.buscape.com.br/smartphone-multilaser-ms45;;;;ms45;;;278.1;;multilaser;
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-6s-plus-128gb;single;1920 x 1080;5.5;6s plus 128gb;;iphone;3499.0;5.0 megapixels frontal;apple;128.0
;;http://www.buscape.com.br/smartphone-multilaser-ms40;;;;ms40;;;249.0;;multilaser;
13.0 megapixels;1.1;http://www.buscape.com.br/smartphone-lg-x-cam-k580;;1920 x 1080;5.2;x cam k580;2.0;;692.31;8.0 megapixels frontal;lg;16.0
13.0 megapixels;2.0;http://www.buscape.com.br/smartphone-sony-xperia-xa;single;;5.0;xa;2.0;xperia;747.12;8.0 megapixels frontal;sony;16.0
13.0 megapixels;1.1;http://www.buscape.com.br/smartphone-alcatel-pop4-premium;dual;1280 x 720;5.0;pop4 premium;1.5;;436.03;8.0 megapixels frontal;alcatel;8.0
16.0 megapixels;2.0;http://www.buscape.com.br/smartphone-asus-zenfone-3-ze520kl-16gb;dual;1920 x 1080;5.2;3 ze520kl 16gb;2.0;zenfone;1097.9;8.0 megapixels frontal;asus;16.0
8.0 megapixels;;http://www.buscape.com.br/smartphone-alcatel-a3-xl;;1280 x 720;6.0;a3 xl;2.0;;549.12;5.0 megapixels frontal;alcatel;16.0
;;http://www.buscape.com.br/smartphone-positivo-twist-mini-s430;;;;twist mini s430;;;278.07;;positivo;
12.0 megapixels;2.2;http://www.buscape.com.br/smartphone-motorola-moto-z-2-play-xt1710;;1920 x 1080;5.5;2 play xt1710;4.0;moto z;1699.15;5.0 megapixels frontal;motorola;64.0
12.0 megapixels;2.2;http://www.buscape.com.br/smartphone-motorola-moto-z-2-play-xt1710-sound-edition;;1920 x 1080;5.5;2 play xt1710 sound edition;4.0;moto z;1829.13;5.0 megapixels frontal;motorola;64.0
13.0 megapixels;1.3;http://www.buscape.com.br/smartphone-motorola-moto-e-4-plus-xt1773;dual;1280 x 720;5.5;4 plus xt1773;2.0;moto e;806.65;5.0 megapixels frontal;motorola;16.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-motorola-moto-e-4-xt1763;dual;1280 x 720;5.0;4 xt1763;2.0;moto e;738.63;5.0 megapixels frontal;motorola;16.0
8.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-6-16gb;single;1334 x 750;4.7;6 16gb;1.0;iphone;2379.15;1.2 megapixels frontal;apple;16.0
13.0 megapixels;1.2;http://www.buscape.com.br/smartphone-asus-zenfone-2-laser-ze550kl-16gb;dual;1280 x 720;5.5;2 laser ze550kl 16gb;2.0;zenfone;799.0;5.0 megapixels frontal;asus;16.0
;;http://www.buscape.com.br/celular-dl-yc-130;;;;yc-130;;;128.01;;dl;
16.0 megapixels;2.0;http://www.buscape.com.br/smartphone-motorola-moto-z-play-xt1635-sound-edition;;1920 x 1080;5.5;play xt1635;3.0;moto z;1583.12;5.0 megapixels frontal;motorola;32.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-lg-x-style-k200;dual;1280 x 720;5.0;x style k200;1.5;;616.55;5.0 megapixels frontal;lg;16.0
16.0 megapixels;;http://www.buscape.com.br/smartphone-lenovo-vibe-k6-plus;dual;1920 x 1080;5.5;vibe k6 plus;;;874.11;8.0 megapixels frontal;lenovo;
8.0 megapixels;1.0;http://www.buscape.com.br/smartphone-lenovo-vibe-c2;dual;1280 x 720;5.0;vibe c2;1.0;;549.99;5.0 megapixels frontal;lenovo;16.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-se-16gb;single;1136 x 640;4.0;se 16gb;2.0;iphone;1583.91;1.2 megapixels frontal;apple;16.0
16.0 megapixels;;http://www.buscape.com.br/smartphone-samsung-galaxy-a9-sm-a910;dual;1920 x 1080;6.0;a9 sm-a910;4.0;galaxy;1484.91;8.0 megapixels frontal;samsung;32.0
13.0 megapixels;1.3;http://www.buscape.com.br/smartphone-alcatel-pixi-4-6-8050;;;6.0;pixi 4 (6) 8050;;;469.9;8.0 megapixels frontal;alcatel;
8.0 megapixels;1.0;http://www.buscape.com.br/smartphone-alcatel-pixi-4-5-5045;;854 x 480;5.0;pixi 4 (5) 5045;1.0;;374.02;5.0 megapixels frontal;alcatel;8.0
16.0 megapixels;2.0;http://www.buscape.com.br/smartphone-motorola-moto-z-play-xt1635-power-edition;;1920 x 1080;5.5;play xt1635;3.0;moto z;1699.16;5.0 megapixels frontal;motorola;32.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-positivo-twist-s-s520;;854 x 480;5.0;twist s s520;1.0;;407.41;;positivo;8.0
23 megapixels;;http://www.buscape.com.br/smartphone-sony-xperia-xz;single;1920 x 1080;5.2;xz;3.0;xperia;2379.91;13.0 megapixels frontal;sony;32.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-6s-plus-32gb;single;1920 x 1080;5.5;6s plus 32gb;;iphone;3059.91;5.0 megapixels frontal;apple;32.0
;;http://www.buscape.com.br/celular-multilaser-up-tri;;;;up tri;;;79.99;;multilaser;
12.0 megapixels;2.2;http://www.buscape.com.br/smartphone-motorola-moto-z-2-play-xt1710-power-edition;;1920 x 1080;5.5;2 play xt1710 power edition;4.0;moto z;1915.51;5.0 megapixels frontal;motorola;64.0
;;http://www.buscape.com.br/celular-multilaser-view;;;;view;;;105.89;;multilaser;
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-7-256gb-special-edition-red;single;1334 x 750;4.7;7 256gb;2.0;iphone;3689.91;7 megapixels frontal;apple;256.0
;;http://www.buscape.com.br/celular-multilaser-up-p9017;;;;up p9017;;;101.9;;multilaser;
8.0 megapixels;;http://www.buscape.com.br/smartphone-alcatel-a5-led;dual;1280 x 720;5.2;a5 led;2.0;;836.91;5.0 megapixels frontal;alcatel;16.0
16.0 megapixels;2.0;http://www.buscape.com.br/smartphone-motorola-moto-z-play-xt1635;;1920 x 1080;5.5;play xt1635;3.0;moto z;1424.05;5.0 megapixels frontal;motorola;32.0
5.0 megapixels;1.0;http://www.buscape.com.br/smartphone-lenovo-vibe-b;dual;854 x 480;4.5;vibe b;1.0;;399.0;2.0 megapixels frontal;lenovo;8.0
13.0 megapixels;1.8;http://www.buscape.com.br/smartphone-motorola-moto-z-xt1650-power-and-sound-edition;dual;2560 x 1440;5.5;xt1650;4.0;moto z;2419.12;5.0 megapixels frontal;motorola;64.0
8.0 megapixels;1.0;http://www.buscape.com.br/smartphone-qbex-x-gold-gray;;1280 x 720;5.0;x gold/gray;;;299.9;2.0 megapixels frontal;qbex;16.0
;;http://www.buscape.com.br/celular-positivo-p30;;;2.4;p30;;;174.9;;positivo;
;;http://www.buscape.com.br/celular-multilaser-vita;;;;vita;;;146.12;;multilaser;
;;http://www.buscape.com.br/celular-positivo-p28;;;;p28;;;150.45;;positivo;
;;http://www.buscape.com.br/smartphone-asus-zenfone-zoom-zx551ml;;;;zoom zx551ml;;zenfone;1214.1;;asus;
13.0 megapixels;1.5;http://www.buscape.com.br/smartphone-lg-k10-pro-m400;dual;1280 x 720;5.7;k10 pro m400;2.0;;999.1;8.0 megapixels frontal;lg;32.0
13.0 megapixels;;http://www.buscape.com.br/smartphone-sony-xperia-l1;dual;;5.5;l1;2.0;xperia;976.65;5.0 megapixels frontal;sony;16.0
;;http://www.buscape.com.br/celular-positivo-p25;;;;p25;;;89.9;;positivo;
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-7-128gb-special-edition-red;single;1334 x 750;4.7;7 128gb;2.0;iphone;3198.8;7 megapixels frontal;apple;128.0
13.0 megapixels;;http://www.buscape.com.br/smartphone-alcatel-a3;dual;1280 x 720;5.0;a3;1.5;;492.88;5.0 megapixels frontal;alcatel;16.0
